name,country,y,x
dummy port 1,AE,25.2048,55.2708
dummy port 1,BJ,6.47,2.63
dummy port 1,BR,-22.9068,-43.1729
Rada Punta Arenas,CL,-53.166667,-70.9
Antofagasta,CL,-23.65,-70.416667
Puerto Montt,CL,-41.483333,-72.966667
Bahia De Valdivia,CL,-39.8,-73.25
Ain Sukhna Terminal,EG,29.583333,32.366667
North Ain Sukhna Port,EG,29.65,32.366667
Port Said,EG,31.266667,32.3
As Suways,EG,29.966667,32.55
Tangier-Mediterranean,MA,35.9,-5.516667
Casablanca,MA,33.6,-7.616667
Port of Tan-tan,MA,28.47384,-11.3453
Port of Nador,MA,35.2748795,-2.92229843
dummy port 1,NA,-21.05431,13.50664
dummy port 1,NG,6.455,4.234
Richards Bay,ZA,-28.81,32.09833333
Saldanha Bay,ZA,-33.033333,17.966667
Port of Boegoebaai,ZA,-28.757531,16.564296
Port of Ngqura (Coega),ZA,-33.805072,25.681028
