,carrier,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,other,paper pulp and print,textile and leather,transport equipment,wood and wood products
CL,biomass,0.0,0.0,4148.66,0.0,0.0,45031.92,0.0,0.0,7674514.09,24472870.32,0.0,0.0,0.0
CL,coal,0.0,0.0,736680.92,1078388.65,0.0,504009.64,0.0,42014.61,888056.03,0.0,0.0,0.0,0.0
CL,electricity,50136.95,212481.96,0.0,869253.55,0.0,37271917.19,0.0,876172.98,14278261.64,7945083.0,0.0,0.0,0.0
CL,gas,2535058.61,637979.76,19867.05,222921.82,0.0,3506133.28,0.0,156476.49,6793930.96,2429881.06,0.0,0.0,0.0
CL,heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,oil,16.53,2465178.81,77826.17,116534.54,0.0,35742976.1,0.0,3520434.87,11079446.49,3793611.15,0.0,0.0,0.0
CL,process emissions,5562330.07,0.0,0.0,41498.73,0.0,0.0,0.0,5775911.28,0.0,0.0,0.0,0.0,0.0
CL,ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,low-temperature heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,methanol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CL,hydrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EG,biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989162.92,0.0,0.0,0.0,0.0
EG,coal,0.0,0.0,0.0,1778323.83,0.0,0.0,0.0,38909393.88,0.0,0.0,0.0,0.0,0.0
EG,electricity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64898962.03,0.0,0.0,0.0,0.0
