,carrier,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,other,paper pulp and print,textile and leather,transport equipment,wood and wood products
CL,biomass,0.00,0.00,4148.66,0.00,0.00,45031.92,0.00,0.00,7674514.09,24472870.32,0.00,0.00,0.00
CL,coal,0.00,0.00,736680.92,1078388.65,0.00,504009.64,0.00,42014.61,888056.03,0.00,0.00,0.00,0.00
CL,electricity,50136.95,212481.96,0.00,869253.55,0.00,37271917.19,0.00,876172.98,14278261.64,7945083.00,0.00,0.00,0.00
CL,gas,2535058.61,637979.76,19867.05,222921.82,0.00,3506133.28,0.00,156476.49,6793930.96,2429881.06,0.00,0.00,0.00
CL,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,oil,16.53,2465178.81,77826.17,116534.54,0.00,35742976.10,0.00,3520434.87,11079446.49,3793611.15,0.00,0.00,0.00
CL,process emissions,5562330.07,0.00,0.00,41498.73,0.00,0.00,0.00,5775911.28,0.00,0.00,0.00,0.00,0.00
CL,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6989162.92,0.00,0.00,0.00,0.00
EG,coal,0.00,0.00,0.00,1778323.83,0.00,0.00,0.00,38909393.88,0.00,0.00,0.00,0.00,0.00
EG,electricity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64898962.03,0.00,0.00,0.00,0.00
EG,gas,0.00,0.00,0.00,27171111.34,0.00,0.00,0.00,255064.70,81408140.10,0.00,0.00,0.00,0.00
EG,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50531152.92,0.00,0.00,0.00,0.00
EG,process emissions,16607265.52,0.00,0.00,294914.80,0.00,0.00,531545.81,38776072.14,0.00,0.00,0.00,0.00,0.00
EG,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,biomass,51046.12,9539.32,65645.70,0.00,0.00,0.00,76.98,824007.95,0.00,0.00,17509.34,0.00,3991.68
MA,coal,0.00,0.00,239098.12,0.00,0.00,0.00,31439.03,0.00,0.00,0.00,0.00,0.00,0.00
MA,electricity,1578098.59,368643.83,2277417.85,0.00,914127.28,4100630.89,2035506.22,3337890.34,333424.57,446459.72,1159060.55,286118.37,47720.08
MA,gas,0.00,0.00,60668.03,0.00,0.00,418332.39,0.00,476497.90,0.00,289228.75,0.00,66276.73,0.00
MA,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,oil,1034525.61,847120.41,2537576.47,0.00,18236.33,5574325.29,1138494.75,19449539.84,381820.40,319723.86,729659.93,78822.94,6321.23
MA,process emissions,3799801.23,0.00,0.00,37917.62,0.00,0.00,0.00,14187086.62,0.00,0.00,0.00,0.00,0.00
MA,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,biomass,0.00,0.00,2225046.12,0.00,0.00,0.00,0.00,0.00,24492529.77,0.00,0.00,0.00,0.00
ZA,coal,18162566.42,0.00,357815.50,43034347.98,40758.00,4132045.92,39341110.19,10836596.49,49672699.40,1516505.11,0.00,0.00,0.00
ZA,electricity,11036237.80,270364.02,887339.05,22658797.55,91713.80,39748732.40,20680617.37,2902994.51,39182290.05,1647876.44,216318.38,77201.49,439506.71
ZA,gas,17883532.59,0.00,1013350.06,3344039.58,319527.32,0.00,148420.63,4794831.94,1082778.49,319911.83,3845.09,196868.82,0.00
ZA,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,oil,35344.97,31979.12,1008719.91,212807.17,182786.63,27208170.34,0.00,160735.71,2745676.52,80728.60,734506.94,96457.96,165643.88
ZA,process emissions,12179479.07,0.00,0.00,150617.20,0.00,0.00,1488743.53,18836396.12,0.00,0.00,0.00,0.00,0.00
ZA,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
