,carrier,chemical and petrochemical,construction,food and tobacco,iron and steel,machinery,mining and quarrying,non-ferrous metals,non-metallic minerals,other,paper pulp and print,textile and leather,transport equipment,wood and wood products
CL,biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12623205.67,0.00,0.00,0.00,0.00
CL,coal,0.00,0.00,0.00,2491322.25,0.00,0.00,0.00,70274693.42,0.00,0.00,0.00,0.00,0.00
CL,electricity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117214744.44,0.00,0.00,0.00,0.00
CL,gas,0.00,0.00,0.00,38065054.91,0.00,0.00,0.00,460675.22,147032156.44,0.00,0.00,0.00,0.00
CL,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91264882.99,0.00,0.00,0.00,0.00
CL,process emissions,29994568.84,0.00,0.00,413157.48,0.00,0.00,960030.85,70033899.53,0.00,0.00,0.00,0.00,0.00
CL,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CL,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12623205.67,0.00,0.00,0.00,0.00
EG,coal,0.00,0.00,0.00,2491322.25,0.00,0.00,0.00,70274693.42,0.00,0.00,0.00,0.00,0.00
EG,electricity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117214744.44,0.00,0.00,0.00,0.00
EG,gas,0.00,0.00,0.00,38065054.91,0.00,0.00,0.00,460675.22,147032156.44,0.00,0.00,0.00,0.00
EG,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91264882.99,0.00,0.00,0.00,0.00
EG,process emissions,29994568.84,0.00,0.00,413157.48,0.00,0.00,960030.85,70033899.53,0.00,0.00,0.00,0.00,0.00
EG,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EG,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12623205.67,0.00,0.00,0.00,0.00
MA,coal,0.00,0.00,0.00,2491322.25,0.00,0.00,0.00,70274693.42,0.00,0.00,0.00,0.00,0.00
MA,electricity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117214744.44,0.00,0.00,0.00,0.00
MA,gas,0.00,0.00,0.00,38065054.91,0.00,0.00,0.00,460675.22,147032156.44,0.00,0.00,0.00,0.00
MA,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91264882.99,0.00,0.00,0.00,0.00
MA,process emissions,29994568.84,0.00,0.00,413157.48,0.00,0.00,960030.85,70033899.53,0.00,0.00,0.00,0.00,0.00
MA,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MA,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,biomass,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12623205.67,0.00,0.00,0.00,0.00
ZA,coal,0.00,0.00,0.00,2491322.25,0.00,0.00,0.00,70274693.42,0.00,0.00,0.00,0.00,0.00
ZA,electricity,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117214744.44,0.00,0.00,0.00,0.00
ZA,gas,0.00,0.00,0.00,38065054.91,0.00,0.00,0.00,460675.22,147032156.44,0.00,0.00,0.00,0.00
ZA,heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,oil,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91264882.99,0.00,0.00,0.00,0.00
ZA,process emissions,29994568.84,0.00,0.00,413157.48,0.00,0.00,960030.85,70033899.53,0.00,0.00,0.00,0.00,0.00
ZA,methanol,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,hydrogen,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,low-temperature heat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ZA,ammonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
